scene_id,target_id,category,visible_frames,input_condition,best_iou,best_proposal_index,failure_tag
scene0451_00,72,picture,29,single_frame_recon,0.0,,
scene0451_00,32,curtain,104,single_frame_recon,0.028383860600658006,7,
scene0451_00,26,curtain,78,single_frame_recon,0.32268645375930094,20,
scene0451_02,23,curtain,69,single_frame_recon,0.0,,
scene0451_02,17,table,90,single_frame_recon,0.0,,
scene0451_02,4,curtain,43,single_frame_recon,0.0,,
scene0451_04,14,curtain,41,single_frame_recon,0.3922264805367214,1,
scene0451_04,22,curtain,90,single_frame_recon,0.0008177065901012323,12,
scene0451_04,88,cabinet,17,single_frame_recon,0.0,,
scene0392_01,33,window,22,single_frame_recon,0.4487019464675251,6,
scene0392_01,42,sink,73,single_frame_recon,0.061747740078249444,24,
scene0392_01,20,sink,71,single_frame_recon,0.0,,
scene0114_00,6,chair,94,single_frame_recon,0.0,,
scene0114_00,5,chair,75,single_frame_recon,0.5264226738046752,2,
scene0114_00,9,cabinet,45,single_frame_recon,0.0,,
scene0114_02,1,window,59,single_frame_recon,0.0,,
scene0114_02,11,window,72,single_frame_recon,0.0,,
scene0114_02,19,desk,52,single_frame_recon,0.7234895348769266,3,
scene0614_00,33,window,12,single_frame_recon,0.254544987212512,8,
scene0614_00,13,desk,26,single_frame_recon,0.0,,
scene0614_00,12,cabinet,31,single_frame_recon,0.0,,
scene0247_00,15,door,178,single_frame_recon,0.0,,
scene0247_00,40,door,23,single_frame_recon,0.0,,
scene0247_00,54,table,70,single_frame_recon,0.0,,
scene0040_00,8,desk,100,single_frame_recon,0.14757482147120923,23,
scene0040_00,9,desk,85,single_frame_recon,0.0,,
scene0040_00,45,chair,79,single_frame_recon,0.32923811632168865,1,
scene0040_01,14,desk,47,single_frame_recon,0.49510628182156585,33,
scene0040_01,12,desk,156,single_frame_recon,0.0,,
scene0040_01,40,cabinet,41,single_frame_recon,0.0,,
scene0451_00,72,picture,29,multi_frame_recon,0.0,,
scene0451_00,32,curtain,104,multi_frame_recon,0.08683784044341349,8,
scene0451_00,26,curtain,78,multi_frame_recon,0.2662949220684035,10,
scene0451_02,23,curtain,69,multi_frame_recon,0.0,,
scene0451_02,17,table,90,multi_frame_recon,0.0,,
scene0451_02,4,curtain,43,multi_frame_recon,0.0,,
scene0451_04,14,curtain,41,multi_frame_recon,0.09735889285420296,5,
scene0451_04,22,curtain,90,multi_frame_recon,0.026089737167182332,69,
scene0451_04,88,cabinet,17,multi_frame_recon,0.0,,
scene0392_01,33,window,22,multi_frame_recon,0.014023331884152567,21,
scene0392_01,42,sink,73,multi_frame_recon,0.10372307860594414,3,
scene0392_01,20,sink,71,multi_frame_recon,0.0,,
scene0114_00,6,chair,94,multi_frame_recon,0.105811602936311,12,
scene0114_00,5,chair,75,multi_frame_recon,0.5147083181087024,2,
scene0114_00,9,cabinet,45,multi_frame_recon,0.0,,
scene0114_02,1,window,59,multi_frame_recon,0.0,,
scene0114_02,11,window,72,multi_frame_recon,0.03262630674621779,2,
scene0114_02,19,desk,52,multi_frame_recon,0.6887304902279141,3,
scene0614_00,33,window,12,multi_frame_recon,0.5278174499495255,25,
scene0614_00,13,desk,26,multi_frame_recon,0.0,,
scene0614_00,12,cabinet,31,multi_frame_recon,0.0,,
scene0247_00,15,door,178,multi_frame_recon,0.0,,
scene0247_00,40,door,23,multi_frame_recon,0.0016458261847885143,3,
scene0247_00,54,table,70,multi_frame_recon,0.0,,
scene0040_00,8,desk,100,multi_frame_recon,0.33624633529137155,22,
scene0040_00,9,desk,85,multi_frame_recon,0.0,,
scene0040_00,45,chair,79,multi_frame_recon,0.41564099447734343,2,
scene0040_01,14,desk,47,multi_frame_recon,0.7185618652744424,1,
scene0040_01,12,desk,156,multi_frame_recon,0.0,,
scene0040_01,40,cabinet,41,multi_frame_recon,0.0,,
scene0451_00,72,picture,29,scannet_pose_crop,0.0,,
scene0451_00,32,curtain,104,scannet_pose_crop,0.0,,
scene0451_00,26,curtain,78,scannet_pose_crop,0.0,,
scene0451_02,23,curtain,69,scannet_pose_crop,0.0,,
scene0451_02,17,table,90,scannet_pose_crop,0.03460206706729392,35,
scene0451_02,4,curtain,43,scannet_pose_crop,0.3668633938523957,4,
scene0451_04,14,curtain,41,scannet_pose_crop,0.0,,
scene0451_04,22,curtain,90,scannet_pose_crop,0.0,,
scene0451_04,88,cabinet,17,scannet_pose_crop,0.0,,
scene0392_01,33,window,22,scannet_pose_crop,0.0,,
scene0392_01,42,sink,73,scannet_pose_crop,0.0,,
scene0392_01,20,sink,71,scannet_pose_crop,0.7439545811901789,0,
scene0114_00,6,chair,94,scannet_pose_crop,0.677962506819052,0,
scene0114_00,5,chair,75,scannet_pose_crop,0.0,,
scene0114_00,9,cabinet,45,scannet_pose_crop,0.7397629865981555,2,
scene0114_02,1,window,59,scannet_pose_crop,0.0,,
scene0114_02,11,window,72,scannet_pose_crop,0.0,,
scene0114_02,19,desk,52,scannet_pose_crop,0.3225001155072847,16,
scene0614_00,33,window,12,scannet_pose_crop,0.0,,
scene0614_00,13,desk,26,scannet_pose_crop,0.0,,
scene0614_00,12,cabinet,31,scannet_pose_crop,0.8652891153047094,3,
scene0247_00,15,door,178,scannet_pose_crop,0.0,,
scene0247_00,40,door,23,scannet_pose_crop,0.012285878261115647,35,
scene0247_00,54,table,70,scannet_pose_crop,0.0,,
scene0040_00,8,desk,100,scannet_pose_crop,0.1952113950309739,15,
scene0040_00,9,desk,85,scannet_pose_crop,0.5685964017014948,4,
scene0040_00,45,chair,79,scannet_pose_crop,0.0,,
